danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.673,0.567,7,-10.334,0,0.0322,0.0344,0.00506,0.151,0.497,136.005,audio_features,0QRhtV1MwywpkLTvCdMaWq,spotify:track:0QRhtV1MwywpkLTvCdMaWq,https://api.spotify.com/v1/tracks/0QRhtV1MwywpkLTvCdMaWq,https://api.spotify.com/v1/audio-analysis/0QRhtV1MwywpkLTvCdMaWq,297794,4
0.687,0.617,4,-5.213,1,0.0287,0.0941,1.27e-05,0.0898,0.665,121.079,audio_features,4sNG6zQBmtq7M8aeeKJRMQ,spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,https://api.spotify.com/v1/tracks/4sNG6zQBmtq7M8aeeKJRMQ,https://api.spotify.com/v1/audio-analysis/4sNG6zQBmtq7M8aeeKJRMQ,252307,4
0.533,0.485,5,-7.241,1,0.0287,0.72,0.0164,0.132,0.316,132.611,audio_features,4BIYpulTUkEj3gb0WWb9OV,spotify:track:4BIYpulTUkEj3gb0WWb9OV,https://api.spotify.com/v1/tracks/4BIYpulTUkEj3gb0WWb9OV,https://api.spotify.com/v1/audio-analysis/4BIYpulTUkEj3gb0WWb9OV,169982,4
0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,audio_features,4NFD9ea0uH0MtoC30yNYE1,spotify:track:4NFD9ea0uH0MtoC30yNYE1,https://api.spotify.com/v1/tracks/4NFD9ea0uH0MtoC30yNYE1,https://api.spotify.com/v1/audio-analysis/4NFD9ea0uH0MtoC30yNYE1,215387,4
0.658,0.505,9,-6.947,1,0.105,0.537,0,0.113,0.331,159.947,audio_features,3RwWW7KeVhHGayYJgUL5eZ,spotify:track:3RwWW7KeVhHGayYJgUL5eZ,https://api.spotify.com/v1/tracks/3RwWW7KeVhHGayYJgUL5eZ,https://api.spotify.com/v1/audio-analysis/3RwWW7KeVhHGayYJgUL5eZ,210200,4
0.868,0.483,0,-6.701,0,0.0571,0.0991,0.00147,0.129,0.409,105.977,audio_features,35M4ui3RQ1MsIEL9qGJMbj,spotify:track:35M4ui3RQ1MsIEL9qGJMbj,https://api.spotify.com/v1/tracks/35M4ui3RQ1MsIEL9qGJMbj,https://api.spotify.com/v1/audio-analysis/35M4ui3RQ1MsIEL9qGJMbj,230933,4
0.411,0.619,1,-6.834,1,0.0368,0.62,0,0.11,0.337,177.937,audio_features,1bjeWoagtHmUKputLVyDxQ,spotify:track:1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/tracks/1bjeWoagtHmUKputLVyDxQ,https://api.spotify.com/v1/audio-analysis/1bjeWoagtHmUKputLVyDxQ,186192,4
0.871,0.701,5,-5.594,0,0.0458,0.257,7.52e-06,0.0589,0.716,126.975,audio_features,5r5cp9IpziiIsR6b93vcnQ,spotify:track:5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/tracks/5r5cp9IpziiIsR6b93vcnQ,https://api.spotify.com/v1/audio-analysis/5r5cp9IpziiIsR6b93vcnQ,198440,4
0.372,0.632,10,-7.027,0,0.0721,0.0726,0.00475,0.0986,0.571,101.972,audio_features,6FjFcwc5GE8ONvInstIM84,spotify:track:6FjFcwc5GE8ONvInstIM84,https://api.spotify.com/v1/tracks/6FjFcwc5GE8ONvInstIM84,https://api.spotify.com/v1/audio-analysis/6FjFcwc5GE8ONvInstIM84,191890,4
0.799,0.675,1,-5.474,1,0.0465,0.115,0,0.0833,0.594,113.076,audio_features,4lR8sYGMGZPvthF2yUfo7T,spotify:track:4lR8sYGMGZPvthF2yUfo7T,https://api.spotify.com/v1/tracks/4lR8sYGMGZPvthF2yUfo7T,https://api.spotify.com/v1/audio-analysis/4lR8sYGMGZPvthF2yUfo7T,166384,4
