danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,,duration_ms,explicit,popularity,track_name,track_artist,track_id
24.4,2.72E+00,2,-26.444,0,0.0652,0.991,0.957,19,0.271,63.937,184.967,184.967,FALSE,0,Whisper,Piano Mood,5b01v1tJmuRLVqHeBTTWvq
46,1.19E+01,0,-16.223,1,0.0284,0.975,0.834,10.5,0.097,63.985,266.28,266.28,FALSE,0,C Major,Chilly Gonzales,7wbUGUmmTiiWoiRyAU9Tyz
77.9,5.77E-01,11,-19.616,1,0.0838,0.99,0.927,10.2,0.536,64.208,140.098,140.098,FALSE,1,Hit The Hay,Bedtime Instrumental Piano Music Academy,7tQIo3sRiOZ14q3D30wLX8
77.9,5.77E-01,11,-19.616,1,0.0838,0.99,0.927,10.2,0.536,64.208,140.098,140.098,FALSE,1,Hit The Hay,Bedtime Instrumental Piano Music Academy,1iSY6KPX41rGP7ls98nKq9
29.8,5.20E+01,11,-7.426,1,0.0442,0.722,0.00107,11.2,0.205,64.248,226.915,226.915,FALSE,1,Madison to St Cloud,Paris Street,6uINcvtf9dKuCvTWcudgC3
49.3,6.03E+01,2,-18.594,1,0.89,0.984,0.000174,83.4,0.643,64.363,116.458,116.458,TRUE,0,Cheap Men,Melanie Comarcho,2oKGDJIj8GgtP6NUXMITza
41.2,6.92E+00,5,-23.617,1,0.114,0.981,0.943,9.83,0.092,64.371,198.795,198.795,FALSE,0,For Anna,Piano Mood,6kzAeuWktA0XhuKA2CCwkn
49,1.08E-01,8,-25.889,1,0.155,0.993,0.957,11.4,0.374,64.438,180.484,180.484,FALSE,0,Leon,Piano Mood,11K7Au2PqMYaqaZOHb1amf
11,3.91E+01,8,-17.882,1,0.0659,0.741,0.0766,38.3,0.0698,64.631,187.198,187.198,FALSE,0,Marsh Meditation,Sonidos de la Naturaleza para Dormir,5NwGRfFuh05wNhThl3VEcf
39.8,2.62E+00,11,-24.389,1,0.0489,0.991,0.957,11,0.0762,64.798,194.458,194.458,FALSE,0,Nightland,Piano Mood,6ECqwZSiAGebHrPYj3TqzD
59.7,4.26E+01,7,-16.174,1,0.0628,0.283,0.867,10.9,0.0617,64.946,132.676,132.676,FALSE,6,"Desert Sands, Pt. 1",Vapid Rumors,4Ty1KDfR3jPXQMHgHxAumW
55.6,6.74E-01,0,-24.467,1,0.0354,0.989,0.947,9.99,0.373,64.994,211.005,211.005,FALSE,1,Tranquillity,Bedtime Instrumental Piano Music Academy,31j2SchdjuoAmW4bqvdtR5
55.6,6.74E-01,0,-24.467,1,0.0354,0.989,0.947,9.99,0.373,64.994,211.005,211.005,FALSE,1,Tranquillity,Bedtime Instrumental Piano Music Academy,5V3nZIII30Ly7MGrk606rf
21.9,3.87E+01,3,-17.64,1,0.0489,0.8,0.000342,39.9,0.187,65.192,207.794,207.794,FALSE,0,Bedtime Meander,Lluvia del Bosque,6JILIH8B42vwweCiMIfh7N
42.3,1.94E+00,11,-23.444,1,0.0696,0.992,0.943,10.7,0.369,65.212,194.815,194.815,FALSE,0,Journey's End,Piano Mood,4vbYo2nKNn00rQsrFH6I5A
6.29,3.54E+00,9,-25.478,1,0.0464,0.978,0.834,11.3,0.0302,65.445,332.487,332.487,FALSE,1,yankee fakir,Zella Rae,75cSdXlpKYpPnC0duxKqp3
64.4,2.77E+01,1,-9.332,1,0.0356,0.498,4.78E-06,11.5,0.539,65.768,197.824,197.824,FALSE,2,Burn Down - Live at SG Studios,Cade Holliday,5Nyy0cBDCQ2T1QbfzZ5Hja
35.8,2.97E+01,0,-9.806,1,0.126,0.458,0.000208,12.3,0.0565,65.891,221.013,221.013,FALSE,0,Blind As I Am,Indiana,0pu6lrQHJ7FGDK2BZmWp6V
55.8,4.20E-01,8,-28.403,1,0.107,0.993,0.958,10.7,0.459,66.151,215.532,215.532,FALSE,0,Keys of Peace,Piano Mood,5isusEs3Gj3yJZR9M38ioB
